type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,experiment_type,trial_nudge,nudge_index,accepted_default,chose_nudge,og_baskets,actual_baskets,num_features,cost,reaction_time,trial_type,trial_index,time_elapsed,nudge_type,participant_id
mouselab,False,[],"[[5, 6], [5, 5], [5, 6], [4, 1], [4, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[3, 5, 9, 8, 5]",10,29,1,0.042,0.042,0.0,[],default,control,0,False,False,2,2,5,2,2757,implicit-mouselab,33,591404,default,1
mouselab,False,[],"[[4, 8, 5, 5, 6], [6, 5, 6, 4, 2]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[16, 14]",2,30,0,0.049,0.049,0.0,[],default,control,1,False,False,5,5,2,2,3262,implicit-mouselab,34,595987,default,1
mouselab,False,[],"[[5, 4], [3, 3], [8, 3], [5, 3], [3, 0]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[11, 4, 7, 4, 4]",12,31,0,0.052,0.052,0.0,[],default,default,0,True,True,2,2,5,2,2650,implicit-mouselab,35,601839,default,1
mouselab,False,"[3, 3, 2, 2]","[[4, 5], [5, 5], [7, 5], [8, 6], [8, 3]]","[[2, 2], [0, 0], [2, 2], [2, 2], [2, 2]]","[2, 15, 4, 4, 5]",18,32,1,0.048,0.04666666666666667,0.0013333333333333333,"[3, 2]",default,default,0,False,False,2,2,5,2,5370,implicit-mouselab,36,608274,default,1
mouselab,False,[],"[[3, 5, 6, 4, 6], [6, 4, 3, 4, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[18, 12]",6,33,4,0.056,0.056,0.0,[],default,default,4,True,True,5,5,2,2,2013,implicit-mouselab,37,611405,default,1
mouselab,False,"[0, 0]","[[5, 6], [5, 5]]","[[0, 2], [2, 2]]","[26, 4]",22,34,0,0.05,0.04933333333333333,0.0006666666666666666,[0],default,control,1,False,False,2,2,2,2,4548,implicit-mouselab,38,617292,default,1
mouselab,True,"[2, 2, 6, 6, 7, 7, 3, 3]","[[5, 6], [7, 5], [5, 4], [4, 5], [4, 3]]","[[2, 2], [0, 0], [2, 2], [0, 0], [2, 2]]","[4, 10, 1, 14, 1]",24,1,0,0.052,0.04933333333333333,0.0026666666666666666,"[2, 6, 7, 3]",default,control,0,False,True,2,2,5,2,23670,implicit-mouselab,4,262258,default,5
mouselab,True,"[8, 8, 1, 1, 5, 5, 9, 9]","[[5, 3, 3, 6, 4], [4, 4, 7, 4, 6]]","[[2, 0, 2, 2, 2], [0, 2, 2, 0, 0]]","[9, 21]",12,2,4,0.054,0.051333333333333335,0.0026666666666666666,"[8, 1, 5, 9]",default,control,3,False,False,5,5,2,2,18550,implicit-mouselab,5,282113,default,5
mouselab,False,"[0, 0, 1, 1]","[[5, 7], [2, 7]]","[[0, 0], [2, 2]]","[18, 12]",6,3,1,0.07,0.06866666666666667,0.0013333333333333333,"[0, 1]",default,control,1,False,True,2,2,2,2,7752,implicit-mouselab,7,293858,default,5
mouselab,False,"[5, 5, 6, 6, 8, 8, 9, 9]","[[4, 5, 4, 6, 5], [6, 4, 7, 4, 4], [3, 4, 4, 4, 4], [6, 4, 6, 1, 4], [7, 3, 4, 4, 5]]","[[2, 2, 2, 2, 2], [0, 0, 2, 0, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[2, 14, 9, 2, 3]",22,4,0,0.051,0.04833333333333333,0.0026666666666666666,"[5, 6, 8, 9]",default,control,0,False,True,5,5,5,2,14822,implicit-mouselab,8,311097,default,5
mouselab,False,"[5, 5, 6, 6, 8, 8, 9, 9, 7, 7]","[[3, 5, 7, 9, 3], [7, 4, 3, 5, 6], [4, 6, 5, 4, 5], [5, 7, 5, 5, 6], [4, 4, 6, 6, 6]]","[[2, 2, 2, 2, 2], [0, 0, 0, 0, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[7, 11, 2, 3, 7]",14,5,0,0.05,0.04666666666666667,0.0033333333333333335,"[5, 6, 8, 9, 7]",default,default,3,False,False,5,5,5,2,14024,implicit-mouselab,9,328594,default,5
mouselab,False,[],"[[4, 1], [6, 4]]","[[2, 2], [2, 2]]","[20, 10]",10,6,0,0.047,0.047,0.0,[],default,default,0,True,True,2,2,2,2,3639,implicit-mouselab,10,335953,default,5
mouselab,False,"[15, 15, 17, 17, 19, 19, 16, 16, 22, 22, 20, 20]","[[5, 3, 3, 6, 7], [3, 5, 4, 5, 4], [4, 3, 6, 3, 5], [5, 2, 5, 6, 3], [8, 2, 4, 8, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 0, 0, 2, 0], [0, 2, 0, 2, 2]]","[1, 3, 1, 16, 9]",26,7,0,0.057,0.053000000000000005,0.004,"[15, 17, 19, 16, 22, 20]",default,control,3,False,False,5,5,5,2,13255,implicit-mouselab,11,351706,default,5
mouselab,False,"[2, 2, 3, 3]","[[6, 5], [2, 4]]","[[2, 2], [0, 0]]","[3, 27]",24,8,1,0.041,0.03966666666666667,0.0013333333333333333,"[2, 3]",default,default,1,False,True,2,2,2,2,5887,implicit-mouselab,12,358843,default,5
