type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,highlight_weight,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,is_control,sale_index,trial_type,trial_index,time_elapsed,highlight_option_value,maximized_highlighted_option,highlight_num_clicks,num_highlight_reveals,participant_id
traffic-light-mouselab,False,3,1,"[5, 5, 5, 8, 8, 8, 7, 7, 7, 6, 6, 6, 9, 9, 9, 1, 1, 1, 4, 4, 4]","[[7, 5, 8, 5, 8], [3, 5, 4, 3, 4], [5, 2, 6, 6, 5]]","[[3, 0, 3, 3, 0], [0, 0, 0, 0, 0], [3, 3, 3, 3, 3]]","[4, 2, 24]",4,28,11,4,0.053,0.046,0.007,"[5, 8, 7, 6, 9, 1, 4]",7,5,3,21964,21,160,139,none,True,0,traffic-light-mouselab,15,882899,8,1,6,2,1
traffic-light-mouselab,False,3,1,"[5, 5, 5, 0, 0, 10, 10, 10, 7, 7, 7, 6, 6, 6, 8, 8, 8, 9, 9, 9, 2, 3]","[[8, 7, 3, 9, 2], [5, 3, 6, 6, 5], [5, 8, 5, 5, 5]]","[[0, 1, 0, 0, 1], [0, 0, 0, 0, 0], [0, 3, 3, 3, 3]]","[7, 2, 21]",7,22,12,3,0.06,0.053,0.007,"[5, 0, 10, 7, 6, 8, 9, 2, 3]",9,5,3,31135,21,180,159,none,False,0,traffic-light-mouselab,16,915539,9,1,4,3,1
traffic-light-mouselab,False,3,1,"[5, 5, 6, 7, 8, 9, 1, 1, 1, 4, 4, 4]","[[4, 7, 5, 6, 10], [3, 7, 4, 4, 6], [6, 7, 6, 4, 5]]","[[3, 0, 3, 3, 0], [0, 0, 0, 0, 0], [3, 3, 3, 3, 3]]","[9, 7, 14]",7,8,13,4,0.067,0.06333333333333334,0.0036666666666666666,"[5, 6, 7, 8, 9, 1, 4]",7,5,3,92061,11,202,191,none,False,1,traffic-light-mouselab,17,1010767,6,0,6,5,1
traffic-light-mouselab,False,3,1,"[10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 7, 7, 7, 8, 8, 8, 9, 9, 9, 2, 0, 3]","[[6, 4, 5, 5, 6], [3, 7, 7, 6, 5], [4, 0, 6, 6, 6]]","[[0, 1, 0, 0, 1], [3, 3, 0, 0, 0], [0, 0, 0, 0, 0]]","[18, 9, 3]",18,16,14,2,0.057,0.048,0.009,"[10, 11, 12, 13, 14, 7, 8, 9, 2, 0, 3]",11,5,3,32812,27,171,144,none,False,0,traffic-light-mouselab,18,1045292,5,0,3,3,1
traffic-light-mouselab,False,3,1,"[10, 11, 12, 13, 14, 5, 5, 5, 7, 7, 7, 2, 2, 2]","[[3, 5, 7, 4, 3], [4, 6, 7, 10, 4], [4, 4, 4, 3, 4]]","[[3, 3, 0, 3, 3], [0, 3, 0, 3, 3], [0, 0, 0, 0, 0]]","[22, 7, 1]",1,24,15,2,0.069,0.06433333333333334,0.004666666666666667,"[10, 11, 12, 13, 14, 5, 7, 2]",8,5,3,51124,14,207,193,none,False,2,traffic-light-mouselab,19,1098033,4,1,5,5,1
traffic-light-mouselab,False,3,1,"[5, 5, 5, 6, 6, 6, 11, 11, 11]","[[4, 5, 4, 6, 4], [5, 7, 7, 7, 4], [4, 8, 5, 7, 6]]","[[3, 3, 3, 3, 3], [0, 0, 3, 3, 3], [3, 0, 3, 3, 3]]","[15, 2, 13]",15,16,16,1,0.064,0.061,0.003,"[5, 6, 11]",3,5,3,17626,9,193,184,none,True,0,traffic-light-mouselab,20,1117359,5,0,0,0,1
traffic-light-mouselab,False,3,1,"[10, 10, 11, 12, 13, 14, 6, 6, 6, 5, 5, 5, 0, 0, 0, 1, 1, 1]","[[5, 8, 4, 6, 2], [7, 4, 6, 4, 6], [5, 6, 4, 3, 5]]","[[0, 0, 3, 3, 3], [0, 0, 3, 3, 3], [0, 0, 0, 0, 0]]","[16, 9, 5]",5,12,17,1,0.065,0.059333333333333335,0.005666666666666667,"[10, 11, 12, 13, 14, 6, 5, 0, 1]",9,5,3,26418,17,194,177,none,False,2,traffic-light-mouselab,21,1145789,6,1,6,5,1
traffic-light-mouselab,False,3,1,"[10, 10, 10, 11, 11, 11, 14, 14, 14, 4, 9, 9, 9]","[[5, 4, 3, 8, 6], [5, 5, 1, 8, 9], [5, 5, 7, 4, 9]]","[[1, 1, 1, 1, 0], [3, 3, 3, 3, 0], [0, 0, 3, 3, 0]]","[14, 13, 3]",14,14,18,4,0.076,0.07166666666666667,0.004333333333333333,"[10, 11, 14, 4, 9]",5,5,3,17784,13,228,215,none,False,0,traffic-light-mouselab,22,1165559,6,0,1,1,1
traffic-light-mouselab,False,3,1,"[0, 0, 0, 4, 4, 4, 14, 14, 14, 1, 1, 1, 11, 11, 11, 6, 6, 6]","[[4, 7, 1, 5, 8], [5, 8, 6, 3, 2], [5, 7, 5, 4, 2]]","[[0, 0, 3, 3, 0], [1, 0, 1, 1, 1], [3, 0, 3, 3, 0]]","[3, 16, 11]",16,14,19,1,0.075,0.06966666666666667,0.005333333333333333,"[0, 4, 14, 1, 11, 6]",6,5,3,29907,16,226,210,none,False,1,traffic-light-mouselab,23,1203640,8,1,3,1,1
traffic-light-mouselab,False,3,1,"[0, 0, 0, 2, 2, 2, 7, 7, 7]","[[4, 5, 8, 5, 3], [4, 3, 7, 5, 5], [7, 6, 10, 4, 5]]","[[0, 3, 0, 3, 3], [3, 3, 0, 3, 3], [3, 3, 3, 3, 3]]","[4, 11, 15]",15,12,20,2,0.086,0.08299999999999999,0.003,"[0, 2, 7]",3,5,3,16176,9,259,250,none,True,2,traffic-light-mouselab,24,1221319,10,1,0,0,1
traffic-light-mouselab,False,3,1,"[10, 10, 10, 11, 11, 11, 14, 14, 14, 13, 13, 13, 5, 5, 5]","[[6, 5, 5, 4, 5], [8, 4, 6, 5, 6], [7, 6, 3, 2, 6]]","[[3, 3, 3, 3, 3], [0, 3, 3, 3, 3], [0, 0, 3, 0, 0]]","[14, 10, 6]",10,8,21,0,0.069,0.064,0.005,"[10, 11, 14, 13, 5]",5,5,3,14369,15,206,191,none,True,1,traffic-light-mouselab,25,1237275,8,1,3,1,1
traffic-light-mouselab,False,3,1,"[10, 10, 10, 12, 12, 12, 11, 11, 11, 13, 13, 13, 14, 14, 14, 1, 1, 1, 4, 4, 4, 3, 3, 3]","[[2, 3, 5, 2, 5], [7, 5, 9, 6, 5], [0, 6, 4, 6, 6]]","[[3, 0, 3, 0, 0], [3, 3, 3, 3, 3], [0, 0, 0, 0, 0]]","[16, 8, 6]",6,12,22,4,0.052,0.044,0.008,"[10, 12, 11, 13, 14, 1, 4, 3]",8,5,3,32911,24,156,132,none,True,2,traffic-light-mouselab,26,1271715,6,1,15,5,1
