type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,is_control,sale_index,trial_type,trial_index,time_elapsed,highlight_option_value,maximized_highlighted_option,highlight_num_clicks,highlight_weight,num_highlight_reveals,participant_id
traffic-light-mouselab,False,3,1,"[6, 6, 6, 3, 3, 3, 12, 12, 12, 5, 5, 5, 14, 14, 14, 4, 4, 4, 1, 1, 1]","[[5, 7, 10, 5, 5], [5, 7, 4, 8, 6], [4, 5, 4, 4, 7]]","[[3, 0, 3, 0, 0], [0, 0, 3, 3, 3], [3, 3, 0, 3, 0]]","[10, 2, 18]",16,15,1,0.058,0.051000000000000004,0.007,"[6, 3, 12, 5, 14, 4, 1]",7,5,3,13559,21,174,153,hi,True,2,traffic-light-mouselab,19,479050,5,0,6,18,2,1
traffic-light-mouselab,False,3,1,"[10, 10, 7, 7, 7, 7, 1, 1, 1, 1, 13, 9, 9, 9]","[[1, 2, 3, 6, 5], [2, 7, 6, 9, 4], [5, 2, 4, 3, 3]]","[[3, 0, 3, 3, 3], [3, 3, 0, 3, 0], [0, 1, 1, 0, 1]]","[10, 18, 2]",16,16,2,0.049,0.04533333333333334,0.0036666666666666666,"[10, 7, 1, 13, 9]",5,5,3,9972,11,146,135,low,False,2,traffic-light-mouselab,20,491599,4,0,3,2,2,1
traffic-light-mouselab,False,3,1,"[10, 10, 10, 1, 1, 1]","[[7, 4, 5, 7, 6], [6, 7, 5, 7, 4], [4, 5, 6, 5, 7]]","[[3, 0, 3, 3, 3], [3, 3, 3, 3, 3], [0, 3, 3, 3, 3]]","[2, 10, 18]",16,17,3,0.058,0.056,0.002,"[10, 1]",2,5,3,6809,6,174,168,hi,True,2,traffic-light-mouselab,21,500164,5,0,3,18,1,1
traffic-light-mouselab,False,3,1,[],"[[7, 3, 7, 6, 8], [6, 7, 5, 6, 7], [4, 5, 5, 6, 6]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[18, 10, 2]",16,18,1,0.045,0.045,0.0,[],0,5,3,3434,0,134,134,medium,False,1,traffic-light-mouselab,22,507646,7,1,0,10,0,1
traffic-light-mouselab,False,3,1,[],"[[5, 6, 3, 5, 5], [3, 6, 4, 5, 2], [5, 4, 7, 8, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[2, 18, 10]",16,19,3,0.06,0.06,0.0,[],0,5,3,1212,0,180,180,medium,False,2,traffic-light-mouselab,23,510427,8,1,0,10,0,1
traffic-light-mouselab,False,3,1,[],"[[5, 8, 7, 7, 5], [8, 4, 6, 5, 4], [5, 5, 4, 6, 5]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[18, 2, 10]",16,20,1,0.067,0.067,0.0,[],0,5,3,1064,0,202,202,low,False,1,traffic-light-mouselab,24,512842,4,0,0,2,0,1
traffic-light-mouselab,False,3,1,[],"[[3, 6, 4, 5, 5], [7, 5, 3, 5, 8], [7, 2, 5, 4, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[10, 2, 18]",16,21,4,0.04,0.04,0.0,[],0,5,3,1675,0,120,120,low,True,1,traffic-light-mouselab,25,515871,8,1,0,2,0,1
traffic-light-mouselab,False,3,1,[],"[[7, 6, 6, 5, 5], [7, 5, 5, 1, 7], [2, 3, 5, 2, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 2, 10]",16,22,0,0.053,0.053,0.0,[],0,5,3,1030,0,160,160,medium,True,2,traffic-light-mouselab,26,518350,2,0,0,10,0,1
traffic-light-mouselab,False,3,1,[],"[[6, 6, 2, 4, 5], [4, 7, 4, 6, 7], [4, 3, 4, 3, 4]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,23,0,0.041,0.041,0.0,[],0,5,3,1456,0,124,124,medium,False,1,traffic-light-mouselab,27,521245,4,0,0,10,0,1
traffic-light-mouselab,False,3,1,[],"[[7, 4, 4, 1, 6], [5, 6, 8, 4, 4], [3, 6, 8, 6, 6]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,24,2,0.077,0.077,0.0,[],0,5,3,1694,0,232,232,low,False,0,traffic-light-mouselab,28,524302,4,0,0,2,0,1
